FECHA HECHO,CANTIDAD,GENERO,Weapon Used,Total domestic violence
2017-11-27,8,M,No Weapon or Substance Used,1.0
2017-12-03,4,M,No Weapon or Substance Used,2.0
2017-12-05,11,M,No Weapon or Substance Used,1.0
2017-12-13,3,F,Using weapons and substances with a certain degree of harm,4.0
2017-12-18,3,F,Using weapons and substances with a certain degree of harm,1.0
2017-12-26,1,M,Using weapons and substances with a certain degree of harm,8.0
2018-01-01,1,M,Using weapons and substances with a certain degree of harm,27.0
2018-01-02,1,F,No Weapon or Substance Used,23.0
2018-01-04,3,F,Using weapons and substances with a certain degree of harm,4.0
2018-01-16,6,F,Using weapons and substances with a certain degree of harm,1.0
2018-01-24,5,M,No Weapon or Substance Used,1.0
2018-02-12,8,F,Unknown,1.0
2018-02-28,2,M,Unknown,3.0
2018-03-07,1,M,No Weapon or Substance Used,1.0
2018-03-29,6,M,Unknown,1.0
2018-04-03,10,M,Unknown,1.0
2018-04-07,6,F,Using weapons and substances with a certain degree of harm,1.0
2018-04-09,7,M,Unknown,1.0
2018-04-12,2,F,Unknown,6.0
2018-04-18,5,F,Using weapons and substances with a certain degree of harm,1.0
2018-04-18,5,F,No Weapon or Substance Used,1.0
2018-04-25,2,F,Unknown,9.0
2018-05-17,13,F,Using weapons and substances with a certain degree of harm,1.0
2018-06-13,4,F,Using weapons and substances with a certain degree of harm,3.0
2018-07-15,8,M,Using weapons and substances with a certain degree of harm,1.0
2018-07-19,2,F,No Weapon or Substance Used,1.0
2018-07-29,5,F,Using weapons and substances with a certain degree of harm,2.0
2018-07-29,5,F,No Weapon or Substance Used,1.0
2018-07-31,1,M,No Weapon or Substance Used,1.0
2018-08-16,1,F,Unknown,16.0
2018-08-23,1,F,No Weapon or Substance Used,11.0
2018-09-17,1,F,Unknown,24.0
2018-09-27,2,F,Unknown,5.0
2018-09-29,2,F,No Weapon or Substance Used,2.0
2018-10-14,6,M,Unknown,1.0
2018-10-29,3,F,Unknown,2.0
2018-10-29,4,F,Using weapons and substances with a certain degree of harm,2.0
2018-11-06,3,M,Using weapons and substances with a certain degree of harm,1.0
2018-11-12,3,F,Using weapons and substances with a certain degree of harm,3.0
2018-11-21,3,M,Using weapons and substances with a certain degree of harm,1.0
2018-11-23,2,F,No Weapon or Substance Used,1.0
2018-11-27,1,M,No Weapon or Substance Used,4.0
2018-12-02,2,F,Using weapons and substances with a certain degree of harm,10.0
2018-12-10,4,M,Using weapons and substances with a certain degree of harm,1.0
2018-12-14,2,F,Using weapons and substances with a certain degree of harm,5.0
2018-12-15,1,M,Unknown,3.0
2018-12-18,5,F,Unknown,2.0
2018-12-28,2,F,Using weapons and substances with a certain degree of harm,3.0
2019-01-04,2,F,No Weapon or Substance Used,3.0
2019-01-21,3,F,Unknown,5.0
2019-01-31,6,F,Unknown,1.0
2019-02-16,4,F,Unknown,2.0
2019-02-20,1,F,No Weapon or Substance Used,8.0
2019-03-04,5,F,Using weapons and substances with a certain degree of harm,2.0
2019-03-10,2,F,Unknown,5.0
2019-04-08,2,M,Using weapons and substances with a certain degree of harm,2.0
2019-05-08,4,M,Using weapons and substances with a certain degree of harm,1.0
2019-05-13,2,F,Unknown,7.0
2019-05-15,6,F,Using weapons and substances with a certain degree of harm,1.0
2019-06-05,1,M,Using weapons and substances with a certain degree of harm,22.0
2019-06-07,4,F,Using weapons and substances with a certain degree of harm,2.0
2019-06-07,10,M,Unknown,1.0
2019-06-10,3,F,Using weapons and substances with a certain degree of harm,2.0
2019-07-04,2,F,Using weapons and substances with a certain degree of harm,6.0
2019-07-16,1,F,Using weapons and substances with a certain degree of harm,40.0
2019-07-30,4,F,Unknown,1.0
2019-08-07,7,F,Unknown,1.0
2019-08-16,2,F,No Weapon or Substance Used,2.0
2019-08-19,1,M,Unknown,15.0
2019-08-21,8,F,Unknown,1.0
2019-08-21,1,F,Using weapons and substances with a certain degree of harm,41.0
2019-09-02,7,F,Using weapons and substances with a certain degree of harm,2.0
2019-09-04,4,F,No Weapon or Substance Used,1.0
2019-09-07,4,M,Using weapons and substances with a certain degree of harm,1.0
2019-09-20,1,F,Unknown,16.0
2019-09-22,2,M,Unknown,3.0
2019-10-17,3,F,No Weapon or Substance Used,1.0
2019-10-18,3,F,No Weapon or Substance Used,1.0
2019-10-26,1,M,Using weapons and substances with a certain degree of harm,10.0
2019-10-29,2,F,No Weapon or Substance Used,3.0
2019-11-06,3,F,Using weapons and substances with a certain degree of harm,2.0
2019-11-24,5,F,Using weapons and substances with a certain degree of harm,1.0
2019-11-27,5,F,Unknown,1.0
2019-11-29,3,M,No Weapon or Substance Used,1.0
2019-12-07,3,F,No Weapon or Substance Used,2.0
2019-12-08,2,F,Using weapons and substances with a certain degree of harm,7.0
2019-12-21,3,F,Using weapons and substances with a certain degree of harm,1.0
2020-02-02,1,F,Unknown,156.0
2020-02-12,1,M,Unknown,29.0
2020-02-18,1,M,Using weapons and substances with a certain degree of harm,36.0
2020-03-21,1,M,No Weapon or Substance Used,2.0
2020-03-30,2,F,Unknown,2.0
2020-04-07,1,M,Unknown,22.0
2020-04-13,1,M,Using weapons and substances with a certain degree of harm,33.0
2020-05-10,2,F,Unknown,1.0
2020-07-11,1,M,Using weapons and substances with a certain degree of harm,22.0
2020-10-15,1,M,No Weapon or Substance Used,11.0
2020-10-19,15,M,Unknown,1.0
2020-10-20,1,M,No Weapon or Substance Used,10.0
2020-10-29,4,M,Unknown,1.0
2020-11-03,4,F,No Weapon or Substance Used,1.0
2020-11-07,2,F,Unknown,2.0
2020-11-08,2,F,Using weapons and substances with a certain degree of harm,1.0
2020-12-06,1,F,No Weapon or Substance Used,176.0
2021-01-12,3,M,Using weapons and substances with a certain degree of harm,1.0
2021-02-18,3,M,No Weapon or Substance Used,1.0
2021-02-21,4,F,No Weapon or Substance Used,4.0
2021-02-22,2,F,No Weapon or Substance Used,8.0
2021-02-22,1,F,Using weapons and substances with a certain degree of harm,48.0
2021-03-07,5,F,No Weapon or Substance Used,1.0
2021-03-28,2,F,No Weapon or Substance Used,7.0
2021-03-28,3,M,Using weapons and substances with a certain degree of harm,2.0
2021-04-23,8,F,No Weapon or Substance Used,1.0
2021-04-30,2,F,Using weapons and substances with a certain degree of harm,5.0
2021-05-19,2,F,Using weapons and substances with a certain degree of harm,4.0
2021-06-04,2,F,Using weapons and substances with a certain degree of harm,9.0
2021-06-11,2,F,No Weapon or Substance Used,12.0
2021-06-28,8,F,Using weapons and substances with a certain degree of harm,1.0
2021-07-14,14,F,Using weapons and substances with a certain degree of harm,1.0
2021-07-14,2,M,Using weapons and substances with a certain degree of harm,2.0
2021-07-21,1,F,Using weapons and substances with a certain degree of harm,30.0
2021-08-10,18,F,Using weapons and substances with a certain degree of harm,1.0
2021-08-11,6,M,No Weapon or Substance Used,1.0
2021-08-18,3,F,Using weapons and substances with a certain degree of harm,2.0
2021-08-27,3,F,Using weapons and substances with a certain degree of harm,1.0
2021-09-02,8,F,No Weapon or Substance Used,1.0
2021-09-14,3,F,No Weapon or Substance Used,4.0
2021-09-17,4,M,No Weapon or Substance Used,1.0
2021-09-22,1,F,Using weapons and substances with a certain degree of harm,40.0
2021-10-10,3,M,No Weapon or Substance Used,4.0
2021-10-24,14,F,Using weapons and substances with a certain degree of harm,1.0
2021-11-12,1,F,Using weapons and substances with a certain degree of harm,26.0
2021-12-02,2,M,No Weapon or Substance Used,3.0
2021-12-26,2,F,Using weapons and substances with a certain degree of harm,3.0
2022-01-22,4,F,No Weapon or Substance Used,3.0
2022-01-30,1,F,Using weapons and substances with a certain degree of harm,49.0
2022-02-27,8,F,Using weapons and substances with a certain degree of harm,1.0
2022-03-02,4,M,No Weapon or Substance Used,2.0
2022-03-10,8,M,No Weapon or Substance Used,1.0
2022-03-21,3,M,No Weapon or Substance Used,1.0
2022-04-05,4,F,Using weapons and substances with a certain degree of harm,1.0
2022-04-07,3,F,Using weapons and substances with a certain degree of harm,6.0
2022-05-06,2,F,No Weapon or Substance Used,4.0
2022-05-18,1,F,No Weapon or Substance Used,33.0
2022-05-21,2,F,No Weapon or Substance Used,8.0
2022-06-04,2,F,No Weapon or Substance Used,11.0
2022-06-06,9,M,No Weapon or Substance Used,1.0
2022-06-19,3,M,No Weapon or Substance Used,3.0
2022-06-26,12,M,No Weapon or Substance Used,1.0
2022-07-18,3,M,Using weapons and substances with a certain degree of harm,3.0
2022-07-27,2,M,Using weapons and substances with a certain degree of harm,1.0
2022-08-02,3,F,Using weapons and substances with a certain degree of harm,2.0
2022-08-19,5,F,No Weapon or Substance Used,3.0
2022-08-26,3,M,No Weapon or Substance Used,2.0
2022-09-06,5,F,No Weapon or Substance Used,1.0
2022-09-10,2,M,No Weapon or Substance Used,5.0
2022-09-11,7,M,No Weapon or Substance Used,1.0
2022-09-24,5,F,No Weapon or Substance Used,1.0
2022-10-09,1,M,No Weapon or Substance Used,19.0
2022-10-17,1,F,Using weapons and substances with a certain degree of harm,31.0
2022-10-29,10,F,No Weapon or Substance Used,1.0
2022-11-09,5,F,No Weapon or Substance Used,1.0
2022-11-12,7,F,No Weapon or Substance Used,1.0
2022-11-29,2,F,No Weapon or Substance Used,8.0
2022-12-26,3,F,No Weapon or Substance Used,3.0
2023-01-06,2,F,Using weapons and substances with a certain degree of harm,4.0
2023-01-27,2,M,Using weapons and substances with a certain degree of harm,2.0
2023-01-27,1,F,No Weapon or Substance Used,31.0
2023-02-02,3,F,Using weapons and substances with a certain degree of harm,1.0
2017-11-08,1,M,Unknown,5.0
2018-08-27,2,M,No Weapon or Substance Used,1.0
2019-10-14,2,F,No Weapon or Substance Used,1.0
2019-12-04,5,F,Using weapons and substances with a certain degree of harm,1.0
2020-05-01,1,M,Unknown,26.0
2021-04-03,6,F,Using weapons and substances with a certain degree of harm,1.0
2021-04-07,1,F,Using weapons and substances with a certain degree of harm,36.0
2021-06-09,3,F,No Weapon or Substance Used,2.0
2021-06-21,15,F,No Weapon or Substance Used,1.0
2021-11-12,1,M,No Weapon or Substance Used,21.0
2022-08-18,9,M,No Weapon or Substance Used,1.0
2022-09-22,2,F,No Weapon or Substance Used,8.0
2022-10-04,5,F,No Weapon or Substance Used,1.0
2022-10-30,4,M,No Weapon or Substance Used,2.0
2022-12-09,1,M,No Weapon or Substance Used,17.0
2015-01-01,1,F,No Weapon or Substance Used,24.0
2015-01-29,2,M,Using weapons and substances with a certain degree of harm,2.0
2015-02-14,2,M,No Weapon or Substance Used,2.0
2015-02-22,4,F,Using weapons and substances with a certain degree of harm,2.0
2015-02-25,1,F,Unknown,3.0
2015-03-06,18,F,No Weapon or Substance Used,1.0
2015-03-18,3,F,Using weapons and substances with a certain degree of harm,2.0
2015-04-10,2,M,Using weapons and substances with a certain degree of harm,1.0
2015-04-15,1,M,No Weapon or Substance Used,6.0
2015-05-02,1,F,Unknown,1.0
2015-05-03,1,F,No Weapon or Substance Used,27.0
2015-05-06,3,F,Using weapons and substances with a certain degree of harm,3.0
2015-05-09,1,M,No Weapon or Substance Used,9.0
2015-05-26,3,F,Using weapons and substances with a certain degree of harm,3.0
2015-05-31,11,F,No Weapon or Substance Used,1.0
2015-06-07,4,F,Using weapons and substances with a certain degree of harm,1.0
2015-06-25,2,M,Unknown,1.0
2015-07-28,4,F,No Weapon or Substance Used,1.0
2015-08-08,1,M,Using weapons and substances with a certain degree of harm,12.0
2015-08-23,7,M,No Weapon or Substance Used,1.0
2015-08-23,2,M,Using weapons and substances with a certain degree of harm,1.0
2015-09-04,4,F,No Weapon or Substance Used,2.0
2015-09-11,11,F,No Weapon or Substance Used,1.0
2015-09-29,8,F,No Weapon or Substance Used,2.0
2015-10-20,3,M,No Weapon or Substance Used,1.0
2015-11-02,4,F,Using weapons and substances with a certain degree of harm,3.0
2015-11-10,1,F,Using weapons and substances with a certain degree of harm,38.0
2015-12-16,4,F,No Weapon or Substance Used,1.0
2016-01-02,1,M,Using weapons and substances with a certain degree of harm,17.0
2016-01-09,1,F,Unknown,1.0
2016-03-02,3,F,No Weapon or Substance Used,2.0
2016-03-10,1,F,No Weapon or Substance Used,24.0
2016-04-15,1,M,Using weapons and substances with a certain degree of harm,20.0
2016-04-23,2,F,Using weapons and substances with a certain degree of harm,10.0
2016-04-23,2,M,Using weapons and substances with a certain degree of harm,2.0
2016-05-03,7,F,Using weapons and substances with a certain degree of harm,1.0
2016-05-04,5,F,Using weapons and substances with a certain degree of harm,2.0
2016-05-28,6,F,Using weapons and substances with a certain degree of harm,1.0
2016-06-02,1,F,No Weapon or Substance Used,29.0
2016-06-24,10,F,Using weapons and substances with a certain degree of harm,1.0
2016-06-27,9,F,No Weapon or Substance Used,1.0
2016-07-10,6,F,No Weapon or Substance Used,1.0
2016-07-21,2,F,Using weapons and substances with a certain degree of harm,6.0
2016-08-19,9,F,No Weapon or Substance Used,1.0
2016-08-21,3,M,No Weapon or Substance Used,1.0
2016-08-21,3,F,Using weapons and substances with a certain degree of harm,7.0
2016-08-23,1,F,No Weapon or Substance Used,24.0
2016-08-25,11,F,Using weapons and substances with a certain degree of harm,1.0
2016-08-29,14,M,No Weapon or Substance Used,1.0
2016-09-14,1,F,No Weapon or Substance Used,22.0
2016-09-27,1,M,Using weapons and substances with a certain degree of harm,19.0
2016-10-06,6,F,No Weapon or Substance Used,1.0
2016-10-21,1,F,Using weapons and substances with a certain degree of harm,38.0
2016-11-04,1,M,Using weapons and substances with a certain degree of harm,12.0
2016-11-07,10,M,No Weapon or Substance Used,1.0
2016-11-10,7,F,Using weapons and substances with a certain degree of harm,2.0
2016-12-09,1,F,No Weapon or Substance Used,21.0
2016-12-10,2,F,Using weapons and substances with a certain degree of harm,4.0
2016-12-10,1,F,Using weapons and substances with a certain degree of harm,40.0
2016-12-30,3,F,Using weapons and substances with a certain degree of harm,1.0
2017-01-10,14,F,No Weapon or Substance Used,1.0
2017-01-18,17,F,Using weapons and substances with a certain degree of harm,1.0
2017-01-20,1,F,Using weapons and substances with a certain degree of harm,40.0
2017-01-26,2,F,No Weapon or Substance Used,5.0
2017-01-31,1,M,Using weapons and substances with a certain degree of harm,18.0
2017-02-14,6,F,No Weapon or Substance Used,1.0
2017-02-17,1,F,No Weapon or Substance Used,31.0
2017-02-19,4,M,Using weapons and substances with a certain degree of harm,1.0
2017-02-21,2,F,Using weapons and substances with a certain degree of harm,7.0
2017-03-24,2,F,No Weapon or Substance Used,9.0
2017-05-16,11,M,No Weapon or Substance Used,1.0
2017-05-20,3,F,No Weapon or Substance Used,8.0
2017-05-21,3,M,Using weapons and substances with a certain degree of harm,1.0
2017-05-23,2,F,Using weapons and substances with a certain degree of harm,10.0
2017-06-01,2,M,No Weapon or Substance Used,1.0
2017-06-02,2,F,Using weapons and substances with a certain degree of harm,6.0
2017-07-04,3,M,Using weapons and substances with a certain degree of harm,1.0
2017-07-20,2,M,No Weapon or Substance Used,1.0
2017-08-07,4,F,Using weapons and substances with a certain degree of harm,2.0
2017-08-09,4,F,No Weapon or Substance Used,2.0
2017-08-22,3,M,Using weapons and substances with a certain degree of harm,1.0
2017-08-25,1,F,No Weapon or Substance Used,31.0
2017-08-25,5,M,Using weapons and substances with a certain degree of harm,1.0
2017-09-06,2,F,Using weapons and substances with a certain degree of harm,9.0
2017-10-06,3,F,Using weapons and substances with a certain degree of harm,4.0
2017-10-08,2,F,Unknown,1.0
2017-10-10,14,F,No Weapon or Substance Used,1.0
2017-10-18,4,F,Using weapons and substances with a certain degree of harm,1.0
2017-10-22,1,F,Unknown,6.0
2017-11-12,5,F,Using weapons and substances with a certain degree of harm,1.0
2017-11-20,2,M,Unknown,2.0
2017-11-23,1,M,No Weapon or Substance Used,10.0
2017-11-26,1,F,Using weapons and substances with a certain degree of harm,51.0
2017-12-11,7,F,No Weapon or Substance Used,1.0
2017-12-19,2,M,Using weapons and substances with a certain degree of harm,1.0
2017-12-24,5,M,No Weapon or Substance Used,1.0
2017-12-31,1,F,Unknown,10.0
2018-01-16,2,M,Unknown,1.0
2018-01-18,4,F,Using weapons and substances with a certain degree of harm,2.0
2018-01-19,3,F,No Weapon or Substance Used,1.0
2018-01-19,2,F,No Weapon or Substance Used,2.0
2018-02-12,2,F,Using weapons and substances with a certain degree of harm,9.0
2018-02-16,2,M,Unknown,1.0
2018-02-17,4,M,No Weapon or Substance Used,1.0
2018-02-20,1,M,Unknown,5.0
2018-02-25,2,F,No Weapon or Substance Used,2.0
2018-03-05,5,F,Using weapons and substances with a certain degree of harm,2.0
2018-03-07,3,M,No Weapon or Substance Used,2.0
2018-03-23,6,F,No Weapon or Substance Used,1.0
2018-04-09,4,F,Using weapons and substances with a certain degree of harm,2.0
2018-04-30,4,F,Unknown,1.0
2018-05-04,1,M,Unknown,4.0
2018-05-07,2,M,Using weapons and substances with a certain degree of harm,2.0
2018-05-08,6,M,Unknown,1.0
2018-05-10,2,F,Unknown,3.0
2018-05-12,2,F,No Weapon or Substance Used,3.0
2018-05-21,9,F,Unknown,1.0
2018-05-25,3,F,Unknown,2.0
2018-06-02,3,F,Using weapons and substances with a certain degree of harm,1.0
2018-06-18,5,F,Using weapons and substances with a certain degree of harm,1.0
2018-06-30,5,M,Unknown,1.0
2018-07-12,2,M,Using weapons and substances with a certain degree of harm,2.0
2018-07-17,4,M,Unknown,1.0
2018-07-18,11,F,Unknown,1.0
2018-07-20,2,M,Using weapons and substances with a certain degree of harm,3.0
2018-07-27,1,F,Unknown,10.0
2018-08-07,1,M,No Weapon or Substance Used,3.0
2018-09-02,4,F,Unknown,1.0
2018-09-22,4,F,Unknown,1.0
2018-09-24,5,M,Unknown,1.0
2018-10-06,3,F,Using weapons and substances with a certain degree of harm,3.0
2018-10-28,2,F,Unknown,2.0
2018-11-12,4,F,Unknown,1.0
2018-11-12,2,F,Using weapons and substances with a certain degree of harm,4.0
2018-11-12,3,F,Unknown,3.0
2018-11-21,2,F,Unknown,1.0
2018-11-24,7,F,Unknown,1.0
2018-12-17,1,M,Using weapons and substances with a certain degree of harm,11.0
2018-12-21,14,F,Using weapons and substances with a certain degree of harm,1.0
2018-12-26,1,M,Using weapons and substances with a certain degree of harm,7.0
2019-01-16,1,F,Using weapons and substances with a certain degree of harm,42.0
2019-01-19,1,M,Using weapons and substances with a certain degree of harm,15.0
2019-01-28,2,M,Unknown,1.0
2019-02-17,2,F,No Weapon or Substance Used,4.0
2019-02-26,2,M,Using weapons and substances with a certain degree of harm,3.0
2019-04-04,8,F,No Weapon or Substance Used,1.0
2019-04-28,2,M,Unknown,2.0
2019-05-07,1,M,Unknown,11.0
2019-05-08,8,F,Unknown,1.0
2019-05-19,3,F,No Weapon or Substance Used,2.0
2019-06-09,7,F,Using weapons and substances with a certain degree of harm,2.0
2019-06-10,5,F,Unknown,1.0
2019-06-11,1,F,No Weapon or Substance Used,7.0
2019-06-29,3,F,Unknown,2.0
2019-06-29,12,F,Using weapons and substances with a certain degree of harm,1.0
2019-06-30,3,F,No Weapon or Substance Used,1.0
2019-07-05,2,F,Using weapons and substances with a certain degree of harm,11.0
2019-07-07,3,F,No Weapon or Substance Used,1.0
2019-07-29,2,F,Using weapons and substances with a certain degree of harm,6.0
2019-08-24,8,M,Unknown,1.0
2019-09-10,1,M,No Weapon or Substance Used,6.0
2019-09-18,4,F,Unknown,3.0
2019-09-22,1,M,Unknown,12.0
2019-10-03,5,M,Using weapons and substances with a certain degree of harm,1.0
2019-10-27,1,M,Unknown,15.0
2019-10-28,2,M,Unknown,3.0
2019-11-06,14,F,Unknown,1.0
2019-11-11,10,M,Unknown,1.0
2019-11-20,1,M,Using weapons and substances with a certain degree of harm,19.0
2019-12-08,5,M,Using weapons and substances with a certain degree of harm,1.0
2019-12-15,1,F,Unknown,42.0
2019-12-29,8,M,Unknown,1.0
2020-01-31,2,F,Using weapons and substances with a certain degree of harm,2.0
2020-03-08,1,M,Using weapons and substances with a certain degree of harm,72.0
2020-03-26,1,F,Using weapons and substances with a certain degree of harm,74.0
2020-03-31,3,F,Unknown,1.0
2020-04-03,1,F,No Weapon or Substance Used,23.0
2020-04-07,1,F,Using weapons and substances with a certain degree of harm,82.0
2020-04-13,10,F,Unknown,1.0
2020-04-15,1,F,Using weapons and substances with a certain degree of harm,93.0
2020-04-16,1,M,Unknown,12.0
2020-04-16,4,M,Unknown,1.0
2020-04-21,10,M,Unknown,1.0
2020-06-20,1,M,Unknown,13.0
2020-06-23,1,M,No Weapon or Substance Used,16.0
2020-09-20,1,M,Unknown,32.0
2020-10-02,1,F,No Weapon or Substance Used,45.0
2020-10-22,5,F,Unknown,1.0
2020-10-31,1,M,Using weapons and substances with a certain degree of harm,26.0
2020-11-03,9,F,Unknown,1.0
2020-11-21,3,M,Unknown,1.0
2020-11-30,9,M,No Weapon or Substance Used,1.0
2020-12-01,4,M,No Weapon or Substance Used,1.0
2020-12-18,13,F,No Weapon or Substance Used,1.0
2020-12-29,1,M,No Weapon or Substance Used,13.0
2021-01-17,1,F,Using weapons and substances with a certain degree of harm,53.0
2021-01-22,4,M,Using weapons and substances with a certain degree of harm,1.0
2021-02-18,2,M,No Weapon or Substance Used,3.0
2021-02-24,5,M,No Weapon or Substance Used,1.0
2021-03-03,6,F,No Weapon or Substance Used,1.0
2021-03-07,2,M,Using weapons and substances with a certain degree of harm,5.0
2021-03-08,16,F,No Weapon or Substance Used,1.0
2021-03-25,8,F,No Weapon or Substance Used,1.0
2021-04-25,2,F,No Weapon or Substance Used,10.0
2021-04-30,2,F,No Weapon or Substance Used,8.0
2021-05-18,4,F,Using weapons and substances with a certain degree of harm,1.0
2021-06-21,2,F,No Weapon or Substance Used,11.0
2021-06-22,2,M,Using weapons and substances with a certain degree of harm,1.0
2021-06-25,2,F,Using weapons and substances with a certain degree of harm,5.0
2021-07-02,1,F,No Weapon or Substance Used,41.0
2021-07-17,3,M,No Weapon or Substance Used,1.0
2021-07-31,7,F,Using weapons and substances with a certain degree of harm,1.0
2021-08-05,9,F,No Weapon or Substance Used,1.0
2021-08-08,4,M,No Weapon or Substance Used,1.0
2021-08-08,5,F,No Weapon or Substance Used,2.0
2021-08-28,7,F,No Weapon or Substance Used,2.0
2021-09-08,2,F,No Weapon or Substance Used,7.0
2021-11-12,5,F,No Weapon or Substance Used,1.0
2021-11-17,1,M,Using weapons and substances with a certain degree of harm,9.0
2021-12-07,2,F,No Weapon or Substance Used,14.0
2021-12-08,7,F,No Weapon or Substance Used,1.0
2021-12-11,7,F,Using weapons and substances with a certain degree of harm,1.0
2021-12-14,1,F,No Weapon or Substance Used,29.0
2021-12-20,12,F,No Weapon or Substance Used,1.0
2021-12-28,2,F,No Weapon or Substance Used,8.0
2022-01-06,1,F,No Weapon or Substance Used,40.0
2022-01-22,8,F,No Weapon or Substance Used,1.0
2022-02-04,10,M,No Weapon or Substance Used,1.0
2022-02-04,3,F,Using weapons and substances with a certain degree of harm,4.0
2022-02-09,18,M,Using weapons and substances with a certain degree of harm,1.0
2022-02-22,6,F,Using weapons and substances with a certain degree of harm,1.0
2022-02-22,5,M,Using weapons and substances with a certain degree of harm,2.0
2022-03-05,2,M,No Weapon or Substance Used,3.0
2022-03-18,2,M,No Weapon or Substance Used,6.0
2022-04-10,13,F,Using weapons and substances with a certain degree of harm,1.0
2022-04-26,1,M,No Weapon or Substance Used,26.0
2022-04-28,3,M,Using weapons and substances with a certain degree of harm,1.0
2022-05-08,3,F,Using weapons and substances with a certain degree of harm,4.0
2022-05-25,1,F,No Weapon or Substance Used,41.0
2022-05-31,1,F,No Weapon or Substance Used,54.0
2022-06-01,1,M,No Weapon or Substance Used,27.0
2022-06-05,12,M,No Weapon or Substance Used,1.0
2022-06-15,8,M,No Weapon or Substance Used,1.0
2022-07-02,15,F,No Weapon or Substance Used,1.0
2022-07-27,6,M,No Weapon or Substance Used,1.0
2022-08-01,3,F,Using weapons and substances with a certain degree of harm,3.0
2022-08-04,10,F,No Weapon or Substance Used,1.0
2022-08-06,3,F,Using weapons and substances with a certain degree of harm,1.0
2022-08-14,3,M,Using weapons and substances with a certain degree of harm,2.0
2022-08-24,2,M,No Weapon or Substance Used,3.0
2022-08-27,1,M,Using weapons and substances with a certain degree of harm,15.0
2022-09-04,2,M,Using weapons and substances with a certain degree of harm,2.0
2022-09-19,5,F,No Weapon or Substance Used,1.0
2022-09-24,3,F,No Weapon or Substance Used,5.0
2022-10-08,2,M,No Weapon or Substance Used,7.0
2022-10-12,3,F,No Weapon or Substance Used,4.0
2022-10-16,4,M,No Weapon or Substance Used,1.0
2022-11-02,2,M,Using weapons and substances with a certain degree of harm,1.0
2022-11-07,1,M,Using weapons and substances with a certain degree of harm,5.0
2022-11-20,2,F,Using weapons and substances with a certain degree of harm,5.0
2022-11-28,13,M,No Weapon or Substance Used,1.0
2023-01-11,1,M,Using weapons and substances with a certain degree of harm,14.0
2023-01-13,2,F,Using weapons and substances with a certain degree of harm,5.0
2023-01-20,2,M,Using weapons and substances with a certain degree of harm,4.0
2023-01-23,1,F,Using weapons and substances with a certain degree of harm,31.0
2023-01-23,9,M,No Weapon or Substance Used,1.0
2023-02-06,1,M,Using weapons and substances with a certain degree of harm,11.0
2023-02-14,1,M,No Weapon or Substance Used,17.0
2023-02-14,3,F,Using weapons and substances with a certain degree of harm,2.0
2023-02-14,8,F,No Weapon or Substance Used,1.0
2017-04-18,5,F,Using weapons and substances with a certain degree of harm,2.0
2019-05-16,2,F,Using weapons and substances with a certain degree of harm,8.0
2019-07-25,1,M,Using weapons and substances with a certain degree of harm,19.0
2020-04-30,1,M,Unknown,22.0
2020-06-30,1,F,No Weapon or Substance Used,26.0
2020-11-09,11,F,Unknown,1.0
2021-03-31,2,F,No Weapon or Substance Used,8.0
2021-09-18,7,F,No Weapon or Substance Used,2.0
2021-10-13,3,M,Using weapons and substances with a certain degree of harm,1.0
2021-11-23,2,M,Using weapons and substances with a certain degree of harm,2.0
2022-01-06,3,F,No Weapon or Substance Used,2.0
2022-08-31,2,M,Using weapons and substances with a certain degree of harm,4.0
2022-09-15,2,F,No Weapon or Substance Used,11.0
2022-10-18,1,F,No Weapon or Substance Used,46.0
2022-11-16,2,M,No Weapon or Substance Used,3.0
2022-11-22,7,F,No Weapon or Substance Used,3.0
2022-12-23,2,M,No Weapon or Substance Used,3.0
2023-01-17,1,F,No Weapon or Substance Used,27.0
2023-02-13,1,M,No Weapon or Substance Used,21.0
2015-01-03,3,F,No Weapon or Substance Used,1.0
2015-01-30,6,F,Using weapons and substances with a certain degree of harm,1.0
2015-02-23,3,M,No Weapon or Substance Used,1.0
2015-03-01,3,M,Using weapons and substances with a certain degree of harm,1.0
2015-03-15,1,F,Using weapons and substances with a certain degree of harm,74.0
2015-04-04,1,F,Unknown,1.0
2015-04-19,3,F,No Weapon or Substance Used,1.0
2015-04-30,6,F,No Weapon or Substance Used,1.0
2015-05-16,5,F,Using weapons and substances with a certain degree of harm,1.0
2015-05-22,16,F,No Weapon or Substance Used,1.0
2015-05-26,1,M,Using weapons and substances with a certain degree of harm,12.0
2015-05-31,5,F,Using weapons and substances with a certain degree of harm,1.0
2015-06-07,1,F,Using weapons and substances with a certain degree of harm,64.0
2015-06-07,3,F,No Weapon or Substance Used,3.0
2015-07-23,14,F,No Weapon or Substance Used,1.0
2015-08-12,1,M,No Weapon or Substance Used,7.0
2015-08-13,9,F,Using weapons and substances with a certain degree of harm,1.0
2015-08-31,1,M,Using weapons and substances with a certain degree of harm,15.0
2015-09-06,1,F,Unknown,2.0
2015-09-12,3,M,No Weapon or Substance Used,1.0
2015-09-16,4,F,No Weapon or Substance Used,2.0
2015-10-04,3,M,Using weapons and substances with a certain degree of harm,2.0
2015-10-07,1,M,No Weapon or Substance Used,6.0
2015-10-18,4,F,No Weapon or Substance Used,2.0
2015-10-21,5,F,Using weapons and substances with a certain degree of harm,1.0
